País,Renda_per_Capta,Taxa_Acesso_Internet,Taxa_Urbanização,Populacao
Senegal,561.7085848,15.99964999,42.38,235.96035865974514
Serbia,1194.711433,43.05506706,52.04,192.15987701767872
Seychelles,8614.120219,40.77285057,54.34,184.0264998159735
Singapore,32535.83251,71.13170731,100.0,100.0
Slovak Republic,8445.526689,79.88977734,56.56,176.8033946251768
Slovenia,12729.4544,69.33997072,48.6,205.76131687242798
Solomon Islands,1144.102193,5.001375465,17.96,556.7928730512249
South Africa,3745.649852,12.33489326,60.74,164.63615409944023
Spain,15461.75837,65.80855367,77.12,129.6680497925311
Sri Lanka,1295.742686,11.99997066,15.1,662.2516556291391
Suriname,2668.020519,31.5680976,74.92,133.47570742124933
Swaziland,1810.230533,9.007735909,24.94,400.962309542903
Sweden,32292.48298,90.01619002,84.54,118.28720132481665
Switzerland,37662.75125,82.16665988,73.48,136.09145345672292
Syria,1525.780116,20.66315568,54.22,184.43378827001106
Tajikistan,279.1804526,11.54939051,26.46,377.92894935752076
Tanzania,456.3857117,11.00005544,25.52,391.8495297805643
Thailand,2712.517199,21.20007177,33.32,300.1200480192077
Timor-Leste,369.5729537,0.210066326,27.3,366.3003663003663
Togo,285.2244493,5.379819715,42.0,238.0952380952381
Tonga,2025.282665,12.00669231,24.78,403.55125100887807
Trinidad and Tobago,10480.8172,48.51681767,13.22,756.42965204236
Tunisia,3164.927693,36.56255296,66.5,150.37593984962405
Turkey,5348.597192,39.82017789,68.68,145.602795573675
Turkmenistan,2062.125152,2.199997818,48.62,205.67667626491155
Uganda,377.4211133,12.50025543,12.98,770.4160246533128
Ukraine,1036.830725,44.58535469,67.98,147.10208884966164
United Arab Emirates,21087.39412,77.99678115,77.88,128.40267077555214
United Kingdom,28033.48928,84.73170475,89.94,111.18523460084502
United States,37491.17952,74.247572,81.7,122.39902080783354
Uruguay,9106.327234,47.86746863,92.3,108.34236186348862
Uzbekistan,952.8272608,19.44502055,36.82,271.59152634437805
Vanuatu,1543.956457,7.988366667,24.76,403.87722132471725
Venezuela,5528.363114,35.85043696,93.32,107.15816545220747
Vietnam,722.8075588,27.85182156,27.84,359.1954022988506
"Yemen, Rep.",610.3573673,12.34975046,30.64,326.37075718015666
Zambia,432.226337,10.12498646,35.42,282.326369282891
Zimbabwe,320.7718899,11.50041532,37.34,267.80931976432777
